time,counts,cps
16:45:49,304,304
16:45:52,2153,294
16:46:02,2419,270
16:46:12,2422,331
16:46:22,2281,265
16:46:32,2282,287
16:46:42,2316,297
16:46:52,2296,305
16:47:02,2321,287
16:47:12,2257,280
16:47:22,2300,315
16:47:32,1965,291
16:47:42,2294,266
