time,counts,cps
16:54:08,114,114
16:54:11,783,109
16:54:20,937,110
16:54:30,920,106
16:54:40,841,86
16:54:50,905,102
16:55:00,920,119
16:55:10,884,99
16:55:20,895,102
16:55:30,868,105
16:55:41,885,95
16:55:51,842,120
16:56:00,949,118
