time,counts,cps
16:43:10,313,313
16:43:13,2231,318
16:43:22,2557,368
16:43:32,2649,325
16:43:42,2696,322
16:43:52,2645,322
16:44:02,2726,349
16:44:12,2704,354
16:44:23,2662,321
16:44:33,2594,307
16:44:43,2614,333
16:44:53,2326,327
16:45:02,2566,306
