time,counts,cps
16:50:48,269,269
16:50:51,1699,219
16:51:00,1982,259
16:51:10,2025,239
16:51:20,1950,235
16:51:30,2048,265
16:51:40,1985,245
16:51:50,2020,240
16:52:00,1983,234
16:52:10,2011,234
16:52:20,2018,234
16:52:31,1697,253
16:52:40,1996,278
