time,Particles > 0.3um / 0.1L air,Temperature,Gas,Humidity,Pressure,Altitude
15:25:52,117,29.20578125,322702,100,722.9113071253112,2758.687266796297
15:25:53,117,17.7290234375,59920,34.434669889554286,1006.6542762628064,55.05919836285641
15:25:54,108,17.7684765625,69460,34.42110329868495,1006.6600255619771,55.01107783987146
15:25:55,108,17.8149609375,80134,34.385193444110044,1006.6662512261054,54.95897048519567
15:25:56,108,17.8583203125,90690,34.31450826024595,1006.669222681436,54.9341001900906
15:25:57,99,17.899140625,103130,34.255101994623146,1006.6789859335119,54.85238477129568
15:26:01,0,17.9341015625,113126,34.20091107511908,1006.6828862977235,54.81974010114278
15:26:02,0,17.8815625,115046,34.138604233849115,1006.6723280492482,54.90810914645306
15:26:03,0,17.8909375,125983,34.20263860602402,1006.6693304748129,54.933197989155396
15:26:04,0,17.911640625,135161,34.19882121560976,1006.6683180446591,54.94167175432334
15:26:05,0,17.9317578125,143878,34.15475070861152,1006.671811631666,54.91243140995194
15:26:06,0,17.949140625,151678,34.087477128593406,1006.674511161753,54.88983715578367
15:26:07,0,17.95421875,158641,33.99040864731822,1006.6791015384067,54.851417197705516
15:26:08,0,17.94953125,165338,33.88103656913876,1006.6751441479869,54.88453925865815
15:26:09,0,17.9333203125,171616,33.74205321773951,1006.6725244570438,54.90646527136018
15:26:10,0,17.90265625,176958,33.630486587488775,1006.6701305350769,54.92650170711376
15:26:11,81,17.872578125,188148,33.49048876527168,1006.6723201977765,54.90817486095382
15:26:12,72,17.839375,193074,33.33893438498815,1006.6712599819543,54.91704855800639
15:26:13,69,17.8067578125,197813,33.221829806195274,1006.6638693482888,54.9789062153885
15:26:14,66,17.7739453125,201963,33.11051397224923,1006.6579768764783,55.028224916059976
15:26:15,54,17.739375,205679,32.98205204617009,1006.658324215283,55.02531775972986
15:26:16,63,17.6973828125,209661,32.88719044300491,1006.6648211325837,54.97094001087247
15:26:17,48,17.6565625,212881,32.79250973572837,1006.5786527696972,55.692173100656795
15:26:18,48,17.594453125,217014,32.70168282379902,1006.5652569338639,55.8043013416733
15:26:19,48,17.5368359375,218933,32.63972791887272,1006.5627647111687,55.8251623268542
15:26:20,48,17.4723828125,222304,32.57152827822304,1006.5619008959916,55.83239284440595
15:26:21,48,17.406171875,226074,32.53158809049211,1006.5563510571542,55.878847585750066
15:26:22,48,17.348359375,227409,32.49241568865264,1006.5316850487583,56.08531609763891
15:26:23,48,17.28625,229366,32.47556295743862,1006.5018586464936,56.334985511913445
15:26:24,75,17.2251171875,232132,32.44179749531086,1006.4699699844505,56.601924217596014
15:26:25,75,17.1641796875,234488,32.44207082596872,1006.4293024336846,56.94236058293759
15:26:26,75,17.097578125,237054,32.441845260894695,1006.3921585778703,57.25330911159685
15:26:27,87,17.032734375,238522,32.447444790390605,1006.3669364701894,57.46446042763605
15:26:28,87,16.96125,240676,32.45245892597664,1006.3345635290295,57.73548248488611
15:26:29,87,16.87765625,241852,32.467737860911896,1006.3134097005201,57.912583402314
15:26:30,90,16.7950390625,242529,32.500104481397194,1006.2901823849888,58.10704712961187
15:26:31,90,16.7208203125,244928,32.52188134086217,1006.2642130051199,58.3244722709178
15:26:32,90,16.650703125,246672,32.54968934340246,1006.2285390947259,58.623154696790195
15:26:33,102,16.5833203125,247730,32.60608378528326,1006.1972871894295,58.88482060714293
15:26:34,102,16.5141796875,250415,32.645323923848466,1006.1577241621095,59.21608330723801
15:26:35,102,16.4415234375,250959,32.68992857896157,1006.1215190222981,59.519239532431094
15:26:36,102,16.36828125,253159,32.751505259702455,1006.0825330545579,59.84569032015373
15:26:37,102,16.2940625,253159,32.818684829934185,1006.0492055933296,60.12476746501429
15:26:38,102,16.2096875,254460,32.87362826709723,1006.0193373063208,60.37488457374529
15:26:39,138,16.131171875,254834,32.934780094375284,1006.0062107985095,60.48480788427528
15:26:40,138,16.044453125,257103,32.99521672105953,1005.9960704044264,60.56972583357325
15:26:41,138,15.945039062500001,257294,33.07158031813171,1006.0269528555037,60.31111137510539
15:26:42,153,15.8440625,256722,33.142143267416856,1006.011726367767,60.43861955315678
15:26:43,153,15.73,258638,33.22292794159142,1006.000593488698,60.53184841914539
15:26:44,153,15.606562499999999,260387,33.32565112289206,1005.9923087197568,60.60122720645325
15:26:45,183,15.463789062499998,260779,33.4380696262831,1005.9996724439774,60.53956146182298
15:26:46,183,15.3208203125,261172,33.54482516110607,1005.9993778255202,60.5420286665003
15:26:47,183,15.1723828125,263355,33.66252814649813,1006.0100324639005,60.45280457535128
15:26:48,237,15.010859374999999,264158,33.801914402147105,1006.0138060170585,60.42120426345172
15:26:49,237,14.861640625,265779,33.931077274185554,1006.0012518008458,60.52633556363607
15:26:50,237,14.708124999999999,263155,34.0998891264368,1006.0015304054116,60.52400246657584
15:26:51,288,14.544453125,262956,34.25076576135608,1005.9960483621892,60.5699104209977
15:26:52,288,14.370820312500001,265372,34.41227508793324,1005.9941515825315,60.585794559286015
15:26:53,288,14.189179687500001,265779,34.57316843920495,1005.9971827034923,60.56041115624466
15:26:54,309,14.026093750000001,267420,34.775970756108165,1006.0013238201785,60.525732457558476
15:26:55,309,13.876484375,268040,34.957254773571606,1006.0055822769745,60.490071245354294
15:26:56,309,13.7192578125,268872,35.172453326362145,1006.0081860264202,60.468266960483895
15:26:57,336,13.565351562499998,270763,35.37668546547071,1006.021504791141,60.356733848206474
15:26:58,336,13.4153515625,272252,35.58148234335115,1006.0374595531439,60.22312811703628
15:26:59,336,13.278046875000001,272252,35.80495417365384,1006.0541148736089,60.08365771524303
15:27:00,360,13.138789062499999,272680,36.02273068972941,1006.0855555008526,59.82038136131949
15:27:01,360,12.998359375,274407,36.21752747380497,1006.1023503786669,59.67974776847515
15:27:02,360,12.869453125,273325,36.419375460113464,1006.1288022715462,59.45825404649657
15:27:03,366,12.750898437499998,274190,36.622404242834264,1006.1413612384972,59.35309375868206
