time,Particles > 0.3um / 0.1L air,Temperature,Gas,Humidity,Pressure,Altitude
15:14:28,102,29.20578125,191052,100,722.9113071253112,2758.687266796297
15:14:29,102,17.514375,56501,33.96123483488097,1006.7136068898596,54.56262318080436
15:14:30,93,17.55265625,65485,33.92465307753226,1006.7138595264718,54.5605087574185
15:14:31,93,17.5969921875,73516,33.86572215170515,1006.7039211063349,54.64368795173365
15:14:32,93,17.6403515625,80647,33.80099208943464,1006.7069362488636,54.618452771383765
15:14:33,96,17.6801953125,87277,33.71879062122739,1006.7060629625494,54.62576171894996
15:14:34,96,17.714375,92693,33.64754635582214,1006.7087312514942,54.603429558693584
15:14:35,96,17.74484375,100830,33.558837506149075,1006.7017422846678,54.66192359799143
15:14:36,90,17.7782421875,105287,33.487584155352216,1006.7140468835341,54.558940686656506
15:14:37,90,17.814765625,108063,33.50806688031998,1006.711405564126,54.58104703146781
15:14:38,90,17.846015625,111339,33.70540145952204,1006.7147627783744,54.55294906111796
15:14:39,96,17.8719921875,115046,34.00573842044476,1006.7168455304243,54.53551765132029
15:14:40,96,17.8958203125,119249,34.26628401577495,1006.7154436474935,54.54725058379282
15:14:41,96,17.91828125,122994,34.377594119815036,1006.7100043847453,54.59277412694981
15:14:42,99,17.94171875,126163,34.420044547080956,1006.7043258308289,54.64030061391314
15:14:43,99,17.9622265625,129026,34.4047067991538,1006.6975354998253,54.697132370890245
15:14:44,99,17.9837109375,132320,34.354956547680935,1006.6996025268709,54.679832330316124
15:14:45,81,18.0040234375,135265,34.27637126491614,1006.703407483944,54.647986711058266
15:14:46,81,18.0239453125,138235,34.19778618663351,1006.712036157296,54.575769320154556
15:14:47,81,18.0423046875,141000,34.10760991935023,1006.710853925584,54.58566393900768
15:14:48,84,18.0618359375,143526,34.00037949528677,1006.7006517166635,54.67105111805762
15:14:49,84,18.0805859375,145421,33.8988810073993,1006.6964597274907,54.706136088859395
15:14:50,84,18.099140625,147613,33.80888772972328,1006.7028672838711,54.65250791403683
15:14:51,99,18.1173046875,149745,33.718907948700576,1006.7050014237929,54.6346462474566
15:14:52,99,18.1333203125,151158,33.634503822909636,1006.7054731930743,54.63069778245571
15:14:53,99,18.1520703125,152730,33.56183610505513,1006.6994551147592,54.681066099150684
15:14:54,108,18.1755078125,151678,33.586874521606475,1006.7028489043306,54.65266174158576
15:14:55,108,18.207734375,150384,33.81318542458414,1006.7113791290126,54.58126827860737
15:14:56,108,18.2551953125,145062,34.38035986439692,1006.7191034616699,54.51662012767246
15:14:57,102,18.396796875,138019,35.5839656090134,1006.7172914122999,54.53178588604081
15:14:58,102,18.8173046875,134645,37.64109675692176,1006.7298601612217,54.426593506757634
15:14:59,102,19.1684765625,131138,39.953944026905816,1006.7515860222032,54.244764471545935
15:15:00,117,19.3815625,126799,42.2876214535778,1006.7572834357899,54.19708195198611
15:15:01,117,19.5846875,125893,44.67955483954016,1006.7667331046837,54.11799671962817
15:15:02,117,19.782734375,123166,46.98780893609517,1006.7750902565772,54.048055373096545
15:15:03,108,19.9258984375,122481,49.25169712989067,1006.7821428142729,53.98903259458991
15:15:04,108,20.0673046875,123080,51.14258133748537,1006.7807898336841,54.000355648443744
15:15:05,108,20.0712109375,128462,52.31465703773688,1006.7779781323029,54.023886732139836
15:15:06,117,20.0102734375,133019,52.33224952399772,1006.7871540853064,53.94709352536836
15:15:07,117,19.9352734375,137911,51.55970554576946,1006.788175495571,53.93854541620239
15:15:08,117,19.8628125,142367,50.428253972869,1006.7896275904783,53.92639295026847
15:15:09,111,19.795234375,146997,49.13417752803582,1006.7825317547555,53.98577756567267
15:15:10,111,19.7346875,150899,47.819137250315244,1006.7831386648347,53.980698359063304
15:15:11,111,19.6821484375,154741,46.52740614055729,1006.7839108193479,53.97423623186411
15:15:12,111,19.63625,156946,45.320196749320154,1006.7862906265536,53.95431975515671
15:15:13,111,19.5969921875,159936,44.183628110693746,1006.7866342336969,53.95144412886161
15:15:14,111,19.564375,163043,43.140786449402434,1006.7812980259986,53.99610260080326
15:15:15,111,19.53625,164874,42.189788423211816,1006.7850472815372,53.964725237028496
15:15:16,111,19.5118359375,168822,41.31700144653917,1006.7838536866594,53.97471437268899
15:15:18,111,19.4903515625,170290,40.50317155776247,1006.7819258923302,53.99084800697762
15:15:19,129,19.4719921875,172625,39.75942504911032,1006.775933753142,54.04099614191091
15:15:20,129,19.4565625,172964,39.07292626548097,1006.7801499117222,54.00571114038847
15:15:21,129,19.442890625,176426,38.436928430121334,1006.7744445263941,54.0534594986904
15:15:22,120,19.431171875,177492,37.86856149065134,1006.7718980585382,54.074770953756506
15:15:23,120,19.4204296875,178934,37.33762380219487,1006.7654608170915,54.12864458783329
15:15:24,120,19.4096875,180399,36.84951113115813,1006.7608465851706,54.16726152473637
15:15:25,129,19.3989453125,188763,36.38631049822898,1006.7598785533468,54.17536309145898
15:15:26,129,19.3891796875,191052,35.98868065916569,1006.7586666034503,54.185506044736584
15:15:27,129,19.3821484375,191580,35.609791786268325,1006.7545848653868,54.21966667027706
15:15:28,144,19.376484375,193290,35.255171985678025,1006.7527147610105,54.23531786769431
15:15:29,144,19.373359375,194374,34.924767116840016,1006.7549521352528,54.216592933819626
15:15:30,144,19.3692578125,196579,34.64695369646843,1006.757432790628,54.19583198160122
15:15:31,147,19.36671875,197138,34.39862458080371,1006.7606179351371,54.16917512190065
15:15:32,147,19.36359375,196691,34.156408291605345,1006.7646782844516,54.13519366632272
15:15:33,147,19.3596875,198380,33.94899337702309,1006.7729441566573,54.06601612637442
