time,Particles > 0.3um / 0.1L air
15:37:33,333
15:37:34,324
15:37:35,324
15:37:36,324
15:37:37,306
15:37:38,306
15:37:39,306
15:37:40,318
15:37:41,318
15:37:42,318
15:37:43,315
15:37:44,315
15:37:45,315
15:37:46,309
15:37:47,309
15:37:48,309
15:37:49,315
15:37:50,315
15:37:51,315
15:37:52,327
15:37:53,327
15:37:54,327
15:37:55,321
15:37:56,321
15:37:57,321
15:37:58,333
15:37:59,333
15:38:00,333
15:38:01,306
15:38:02,306
