timestamp,cps,cps_err,usv_hr
1777509211.4642982,14.6,1.708800749063506,0.1829964
1777509216.5063002,10.2,1.4282856857085702,0.12784679999999998
1777509221.580183,12.8,1.6,0.1604352
1777509226.629511,11.6,1.5231546211727818,0.1453944
1777509231.684088,13.2,1.624807680927192,0.16544879999999998
1777509236.723159,12.6,1.5874507866387544,0.1579284
1777509241.7814963,13.2,1.624807680927192,0.16544879999999998
1777509246.8325417,11.2,1.4966629547095764,0.1403808
1777509251.8793588,13.6,1.6492422502470643,0.1704624
1777509256.939321,13.0,1.6124515496597098,0.162942
1777509261.9882867,13.2,1.624807680927192,0.16544879999999998
1777509267.0352886,12.2,1.5620499351813308,0.1529148
1777509272.0558696,9.0,1.3416407864998738,0.112806
1777509277.1169732,11.4,1.50996688705415,0.1428876
1777509282.1631842,12.8,1.6,0.1604352
1777509287.2453833,10.4,1.4422205101855956,0.13035360000000001
1777509292.2871344,9.6,1.3856406460551018,0.1203264
1777509297.3428805,10.2,1.4282856857085702,0.12784679999999998
1777509302.387112,10.8,1.469693845669907,0.13536720000000002
1777509307.4169438,12.2,1.5620499351813308,0.1529148
1777509312.4634745,9.0,1.3416407864998738,0.112806
1777509316.4864295,8.8,1.3266499161421599,0.11029920000000001
1777509321.519221,8.8,1.3266499161421599,0.11029920000000001
1777509326.582947,11.0,1.4832396974191326,0.137874
1777509331.6087224,10.0,1.4142135623730951,0.12534
1777509336.6993911,12.6,1.5874507866387544,0.1579284
1777509341.7417843,11.8,1.5362291495737215,0.1479012
1777509346.810147,12.0,1.5491933384829668,0.150408
1777509351.8493128,14.0,1.6733200530681511,0.175476
1777509356.8943918,13.8,1.6613247725836149,0.17296920000000002
1777509361.9552467,13.6,1.6492422502470643,0.1704624
1777509366.9629192,13.6,1.6492422502470643,0.1704624
1777509372.0216002,12.2,1.5620499351813308,0.1529148
1777509377.0988483,12.2,1.5620499351813308,0.1529148
1777509382.1825678,12.0,1.5491933384829668,0.150408
1777509387.1913092,11.8,1.5362291495737215,0.1479012
1777509392.2343013,13.2,1.624807680927192,0.16544879999999998
1777509397.291823,15.0,1.7320508075688774,0.18801
1777509402.3520257,12.8,1.6,0.1604352
1777509407.4126608,13.2,1.624807680927192,0.16544879999999998
1777509412.457911,9.6,1.3856406460551018,0.1203264
1777509417.4631305,12.2,1.5620499351813308,0.1529148
1777509422.5121021,12.0,1.5491933384829668,0.150408
1777509426.5479121,9.6,1.3856406460551018,0.1203264
1777509431.6037226,9.8,1.4,0.1228332
1777509436.6445692,10.2,1.4282856857085702,0.12784679999999998
1777509441.7245965,13.2,1.624807680927192,0.16544879999999998
1777509446.745305,10.4,1.4422205101855956,0.13035360000000001
1777509451.8135412,11.6,1.5231546211727818,0.1453944
1777509456.8501506,12.4,1.5748015748023623,0.1554216
1777509461.9056692,11.4,1.50996688705415,0.1428876
1777509466.9580598,12.2,1.5620499351813308,0.1529148
