timestamp,cps,cps_err,usv_hr
1777513187.964074,11.4,1.50996688705415,0.1428876
1777513193.0545309,12.2,1.5620499351813308,0.1529148
1777513198.0912113,11.2,1.4966629547095764,0.1403808
1777513203.0998578,12.2,1.5620499351813308,0.1529148
1777513208.1527147,11.4,1.50996688705415,0.1428876
1777513213.2404795,12.6,1.5874507866387544,0.1579284
1777513218.3068256,12.6,1.5874507866387544,0.1579284
1777513223.3010094,13.2,1.624807680927192,0.16544879999999998
1777513228.3674624,10.4,1.4422205101855956,0.13035360000000001
1777513233.398694,11.6,1.5231546211727818,0.1453944
1777513238.472718,12.4,1.5748015748023623,0.1554216
1777513243.5291433,12.4,1.5748015748023623,0.1554216
1777513248.5651689,9.6,1.3856406460551018,0.1203264
1777513253.6131394,8.8,1.3266499161421599,0.11029920000000001
1777513258.6393287,9.8,1.4,0.1228332
1777513263.7164931,9.8,1.4,0.1228332
1777513268.751088,10.8,1.469693845669907,0.13536720000000002
1777513273.8320944,12.4,1.5748015748023623,0.1554216
1777513278.8835502,14.8,1.7204650534085253,0.1855032
1777513283.9053757,10.0,1.4142135623730951,0.12534
1777513288.9652588,11.0,1.4832396974191326,0.137874
1777513293.017256,10.0,1.4142135623730951,0.12534
1777513298.036803,10.0,1.4142135623730951,0.12534
1777513303.1196535,12.0,1.5491933384829668,0.150408
1777513308.146844,15.2,1.7435595774162695,0.1905168
1777513313.1708572,8.8,1.3266499161421599,0.11029920000000001
1777513318.2277937,9.2,1.3564659966250536,0.1153128
1777513323.266547,12.2,1.5620499351813308,0.1529148
1777513328.3633373,10.2,1.4282856857085702,0.12784679999999998
1777513333.389752,11.2,1.4966629547095764,0.1403808
1777513338.41969,10.2,1.4282856857085702,0.12784679999999998
1777513343.4667287,13.0,1.6124515496597098,0.162942
1777513348.533675,10.4,1.4422205101855956,0.13035360000000001
1777513353.58962,12.0,1.5491933384829668,0.150408
1777513358.6250572,10.6,1.4560219778561037,0.1328604
1777513363.6807058,8.4,1.2961481396815722,0.10528560000000001
1777513368.6933355,10.8,1.469693845669907,0.13536720000000002
1777513373.7970624,13.0,1.6124515496597098,0.162942
